species	Phylum	Class	Order	Family	Genus
Ezakiella peruensis	Firmicutes	Tissierellia	Ezakiella		
Micromonospora parva	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora
Streptomyces capuensis	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces graminilatus	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces purpeochromogenes	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces graminis	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Bacillus lonarensis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Salisediminibacterium haloalkalitolerans	Firmicutes	Bacilli	Bacillales	Bacillaceae	Salisediminibacterium
Acidiphilium sp. JA12-A1	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Aeromicrobium massiliense JC14	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
Acetobacter orientalis 21F-2	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Acetobacter cibinongensis 4H-1	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Acetobacter syzygii	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Brevibacillus laterosporus LMG 15441	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus
Bifidobacterium sp. UTCIF-1	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTCIF-24	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTCIF-3	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTCIF-36	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTCIF-37	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTCIF-38	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTBIF-56	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTBIF-68	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTBIF-78	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium sp. UTCIF-39	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Streptomyces curacoi	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces azureus	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Parafilimonas terrae	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Parafilimonas
Sporolactobacillus shoreae	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus
Pantoea coffeiphila	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
Alistipes timonensis JC136	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Peptoniphilus grossensis ph5	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Peptoniphilus senegalensis JC140	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Oceanobacillus massiliensis str. N'diop	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus
Paenibacillus senegalensis JC66	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Clostridium senegalense JC122	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Cellulomonas massiliensis JC225	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Noviherbaspirillum massiliense JC206	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum
Timonella senegalensis JC301	Actinobacteria	Actinobacteria	Micrococcales	Timonella	
Anaerococcus pacaensis 9403502	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus
Bacillus lentus NBRC 16444	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Thermosynechococcus elongatus BP-1	Cyanobacteria	Synechococcales	Synechococcaceae	Thermosynechococcus	
Phocoenobacter uteri	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Phocoenobacter
Dendrosporobacter quercicolus	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Dendrosporobacter
Streptomyces europaeiscabiei	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces stelliscabiei	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces reticuliscabiei	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Corynebacterium simulans	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Burkholderia sp. 2002721687	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Delftia sp. RIT313	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
Bacillus massilioanorexius AP8	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Bartonella senegalensis OS02	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella
Holdemania massiliensis AP2	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania
Rice orange leaf phytoplasma	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma
Desulfitobacterium sp. PCE1	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium
Streptomyces thermoautotrophicus	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Longimonas halophila	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Longimonas	
Salinibacter ruber DSM 13855	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Salinibacter	
Streptomyces griseofuscus	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces parvulus	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Thioalkalivibrio sp. HK1	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio
Azovibrio restrictus DSM 23866	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azovibrio
Azospira oryzae PS	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira
Azonexus fungiphilus	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Azonexus
Burkholderiales bacterium GJ-E10	Proteobacteria	Betaproteobacteria	Burkholderiales		
Petrotoga sp. Shatin.DS.tank11.9.2.9.3	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga
Lacinutrix jangbogonensis	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lacinutrix
Spirosoma oryzae	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma
Rhodovulum sp. NI22	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum
Paenibacillus ferrarius	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Kineothrix alysoides	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix
Robinsoniella sp. KNHs210	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella
Actinoalloteichus hoggarensis	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus
Actinokineospora mzabensis	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora
Neisseria arctica	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Bacteroides timonensis	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Alistipes ihumii AP11	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Candidatus Stoquefichus massiliensis AP9	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Candidatus Stoquefichus
Candidatus Soleaferrea massiliensis AP7	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Candidatus Soleaferrea
Candidatus Dorea massiliensis AP6	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Clostridium ihumii AP5	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Candidatus Blastococcus massiliensis AP3	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus
Zhongshania aliphaticivorans	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Zhongshania
Desulfovibrio mexicanus	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Streptomyces sp. Tu 6176	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Cupriavidus sp. SK-3	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
Boseongicola aestuarii	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Boseongicola
Aestuariivita boseongensis	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariivita
Pseudopelagicola gijangensis	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudopelagicola
Thalassospira sp. MCCC 1A01428	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira
Thalassospira sp. MCCC 1A03138	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira
Pseudomonas sp. RIT288	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Stenotrophomonas sp. RIT309	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
Sphingomonas sp. RIT328	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Exiguobacterium sp. RIT341	Firmicutes	Bacilli	Bacillales	Exiguobacterium	
Pseudomonas sp. RIT357	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Bacillus methanolicus MGA3	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Halomonas sp. PR-M31	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Pseudomonas helmanticensis	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Corynebacterium pelargi	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Prochlorococcus sp. scB241_526B17	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_526B19	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_526B22	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_526D20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_526K3	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_526N5	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_526N9	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527E14	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527E15	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527G5	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527I9	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527L15	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527L16	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527L22	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527N11	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_527P5	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528J14	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528J8	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528K19	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528N17	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528N20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528N8	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528O2	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528P14	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_528P18	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_529B19	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_529C4	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_529D18	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_529J11	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_529J15	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_529J16	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB241_529O19	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495D8	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495G23	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495I8	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495K23	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495L20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495N16	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495N3	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495N4	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_495P20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_496A2	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_496E10	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_496G15	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_496M6	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_496N4	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_497E17	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_497I20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_497J18	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_497N18	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498A3	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498B22	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498B23	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498C16	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498F21	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498G3	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498I20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498J20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498L10	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498M14	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498N4	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498N8	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498P15	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB243_498P3	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_518A17	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_518A6	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_518E10	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_518I6	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_518J7	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_518K17	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_518O7	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519A13	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519B7	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519C7	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519D13	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519E23	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519G16	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519L21	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519O11	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_519O21	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_520B18	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_520D2	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_520E22	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_520F22	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_520K10	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_520M11	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521B10	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521C8	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521K15	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521M10	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521N3	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521N5	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521O20	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Prochlorococcus sp. scB245a_521O23	Cyanobacteria	Synechococcales	Prochloraceae	Prochlorococcus	
Novibacillus thermophilus	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus
Paenibacillus pabuli NBRC 13638	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Collinsella stercoris DSM 13279	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Collinsella intestinalis DSM 13280	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Magnetofaba australis IT-1	Proteobacteria	Alphaproteobacteria	Magnetococcales	Magnetococcaceae	Magnetofaba
Basilea psittacipulmonis DSM 24701	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Basilea
Ensifer glycinis	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer
Butyricimonas faecihominis	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas
Falsirhodobacter sp. alg1	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Falsirhodobacter
Agrobacterium albertimagni AOL15	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
Thiomicrospira cyclica ALM1	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrospira
Delftia sp. K82	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
Paenibacillus sp. P1XP2	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Staphylococcus sp. TE8	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Enorma massiliensis phI	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma
Kallipyga massiliensis ph2	Firmicutes	Tissierellia	Kallipyga		
Peptoniphilus obesi ph1	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Lentibacillus amyloliquefaciens	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus
Virgibacillus pantothenticus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus
Paenibacillus guangzhouensis	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Petrotoga sp. HKA.pet.4.5	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga
Senegalimassilia anaerobia JC110	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia
Limnospira indica PCC 8005	Cyanobacteria	Oscillatoriales	Microcoleaceae	Limnospira	
Lysinibacillus sp. BF-4	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus
Defluviitalea phaphyphila	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitalea
Roseiarcus fermentans	Proteobacteria	Alphaproteobacteria	Rhizobiales	Roseiarcaceae	Roseiarcus
Sporosarcina pasteurii	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
Mizugakiibacter sediminis	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Mizugakiibacter
Flavicella marina	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavicella
Sporosarcina psychrophila	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
Helicobacter sp. 11S02596-1	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter sp. 11S02629-2	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter sp. 11S03491-1	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter sp. 12S02232-10	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter sp. 12S02634-8	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter sp. 13S00482-2	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Paracoccus yeei	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
Chryseobacterium xixisoli	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Pedobacter xixiisoli	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
Sphingobacterium paludis	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
Candidatus Saccharibacteria oral taxon TM7x	Candidatus Saccharibacteria				
Deinococcus phoenicis	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
Bacillus sp. BO	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Paenibacillus sp. St-s	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Bacillus sp. B-jedd	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Borrelia sp. CA690	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella
Streptomyces sp. NRRL B-24720	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces sp. NRRL B-1347	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Nonlabens sp. MIC269	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens
Marinobacterium mangrovicola	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium
Peptostreptococcaceae bacterium VA2	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	
Olsenella sp. DNF00959	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
Peptoniphilus sp. DNF00840	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Carnobacterium inhibens subsp. gilichinskyi	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium
Labilibacter marinus	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Labilibacter
Parapedobacter indicus	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Parapedobacter
Prauserella sp. YIM 121212	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Prauserella
Bacillus simplex	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Lactobacillus iners DSM 13335	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
