Phylum	Genus	libsize	FFT_score	FFT_score_scaled	frame_pref	frame_pref_scaled	periodicity	pattern	F0	F1	F2	sample	mup-13	mup-14	mup-15	mup-16	mup-17
Proteobacteria	Bilophila	11687	0.0	0.0	0.0	0.0	0.0	NP	29.5	37.5	32.9	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Proteobacteria	Caulobacter	1209	0.0	0.0	-0.6	-0.4	0.0	F-321	39.9	35.7	24.4	comp_cam_r1_c_o-r_v9	0	0	0	0	0
Proteobacteria	Caulobacter	188934	9.2	0.2	-0.5	-0.3	0.2	F-321	39.8	34.4	25.8	cvib_stat_r1_s_r_v2	0	0	0	0	0
Firmicutes	Clostridium	17080	0.0	0.0	-0.4	-0.3	0.0	F-132	27.1	36.6	36.3	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Clostridium	311262	20.89602889	0.4	0.190577967	0.1	0.4	NA	30.49488855	33.17462459	36.33048686	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0	0	0	0	0
Firmicutes	Clostridium	221698	15.8541989	0.3	-0.368011699	-0.2	0.3	NA	27.92402277	37.52627448	34.54970275	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.183669754	0.448022409	0.094424556	0.645038434	0.405816196
Actinobacteria	Collinsella	4044	4.6	0.1	0.6	0.4	0.4	F-312	31.0	43.4	25.6	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Coprobacter	139804	0.0	0.0	0.0	0.0	0.0	NP	36.6	31.8	31.7	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Coprococcus	20914	0.0	0.0	0.0	0.0	0.0	NP	31.7	36.0	32.3	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Culturomica	24371	0.0	0.0	0.0	0.0	0.0	NP	36.8	31.6	31.6	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Proteobacteria	Desulfovibrio	13867	0.0	0.0	0.0	0.0	0.0	NP	33.1	34.6	32.3	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Dorea	28518	0.0	0.0	0.0	0.0	0.0	NP	29.2	35.9	34.9	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Dorea	188272	18.41666166	0.4	-0.139220434	-0.1	0.4	NA	31.22443776	34.78163875	33.99392349	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0	0	0	0	0
Firmicutes	Enterocloster	290818	16.89391089	0.3	-0.568670825	-0.4	0.3	NA	34.00683589	40.780832	25.21233211	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.119020513	0.382881523	0.206423063	0.799152139	0.34981435
Firmicutes	Enterocloster	124199	11.75956845	0.2	-0.232828836	-0.1	0.2	NA	29.84830674	36.66886745	33.48282581	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.182639627	0.37313997	0.260550845	0.93597152	0.285874843
Firmicutes	Enterococcus	9611	3.6	0.1	0.5	0.3	0.3	F-132	26.9	41.9	31.2	zymo_ctr_r1_m_r_v2-v4	0.173771094	0.577308721	0.071179109	0.122698202	0.300252012
Firmicutes	Enterococcus	2135	0.0	0.0	0.0	0.0	0.0	NP	29.8	38.5	31.7	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Enterococcus	973743	33.27075618	0.7	0.826232597	0.5	0.7	NA	25.90278113	46.99247541	27.10474346	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0	0	0	0	0
Firmicutes	Enterococcus	604881	33.42182316	0.7	0.543705515	0.3	0.7	NA	26.67372041	42.15827933	31.16800026	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.173771094	0.577308721	0.071179109	0.122698202	0.300252012
Firmicutes	Enterococcus	595722	23.66167373	0.5	0.608272738	0.4	0.5	NA	26.99760958	43.25328347	29.74910695	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0	0	0	0	0
Firmicutes	Erysipelatoclostridium	187	3.6	0.1	0.0	0.0	0.1	F-312	33.7	35.8	30.5	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Proteobacteria	Escherichia	4662475	0.0	0.0	0.0	0.0	0.0	NP	33.0	33.4	33.7	ecol_frag_r3_s_r_v1	0	0	0	0	0
Proteobacteria	Escherichia	1793	0.0	0.0	0.0	0.0	0.0	NP	31.0	32.5	36.5	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Eubacterium	127900	0.0	0.0	0.0	0.0	0.0	NP	31.9	36.2	31.9	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Faecalibacterium	26035	4.4	0.1	0.0	0.0	0.1	F-312	30.9	38.6	30.5	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Flavobacterium	22241	0.0	0.0	0.0	0.0	0.0	NP	35.6	32.2	32.2	comp_cam_r1_c_o-r_v9	0	0	0	0	0
Firmicutes	Flavonifractor	79708	12.23512687	0.2	-0.385295264	-0.2	0.2	NA	27.68354494	38.375069	33.94138606	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.386668557	0.322879555	0.219790207	0.925419018	0.174762676
Firmicutes	Fusicatenibacter	7748	0.0	0.0	0.0	0.0	0.0	NP	30.7	36.7	32.7	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Actinobacteria	Gardnerella	175547	2.9	0.1	0.0	0.0	0.1	F-213	32.9	30.7	36.4	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Actinobacteria	Gardnerella	175547	2.7	0.1	0.0	0.0	0.1	F-213	32.9	30.7	36.4	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Cyanobacteria	Geminocystis	20	1.0	0.0	0.0	0.0	0.0	F-132	15.0	50.0	35.0	comp_ctr_r1-1_c_o-r_v9	0	0	0	0	0
Firmicutes	Gemmiger	13130	0.0	0.0	0.0	0.0	0.0	NP	28.4	36.3	35.3	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Hungatella	296946	14.61135355	0.3	-0.382276247	-0.2	0.3	NA	33.6266673	38.6478744	27.72545831	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.049673189	0.301383074	0.12730334	0.644669653	0.326251607
Firmicutes	Intestinimonas	6362	4.9	0.1	-0.7	-0.4	0.1	F-123	23.9	37.7	38.4	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Lachnoclostridium	1224766	15.48635997	0.3	0.32861529	0.2	0.3	NA	32.47612788	38.5713061	28.95256602	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.215964728	0.236165131	0.111699039	0.889483284	0.277287381
Firmicutes	Lactobacillus	3528815	37.1	0.7	1.4	0.9	0.9	F-132	20.6	57.5	21.9	lpla_mup_r2_s_r_v1	0.116721717	0.997245841	0.124068725	0.149119668	0.228003595
Firmicutes	Lactobacillus	2146963	21.2	0.4	0.6	0.4	0.4	F-132	28.2	43.1	28.7	lreu_mup_r1_s_r_v1	0.131178236	0.877495957	0.299671431	0.398688123	0.404778939
Firmicutes	Lactobacillus	15460	8.2	0.2	0.5	0.3	0.3	F-132	28.2	42.2	29.6	vs_ctr_r4_c_r_v2-v4	0	0	0	0	0
Firmicutes	Lactobacillus	70728	11.7	0.2	0.4	0.3	0.3	F-132	29.0	40.0	30.9	vs_ctr_r5_c_r_v2-v4	0	0	0	0	0
Firmicutes	Lactobacillus	111508	12.1	0.2	0.0	0.0	0.2	F-132	28.0	41.1	30.9	zymo_ctr_r1_m_r_v2-v4	0	0	0	0	0
Firmicutes	Lactobacillus	65524	9.0	0.2	0.3	0.2	0.2	F-132	29.0	38.5	32.5	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Firmicutes	Lactococcus	4857	0.0	0.0	0.0	0.0	0.0	NP	26.5	41.1	32.5	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Verrucomicrobia	Lacunisphaera	5443	0.0	0.0	0.0	0.0	0.0	NP	30.1	32.6	37.3	comp_ctr_r1-2_c_o-r_v9	0	0	0	0	0
Firmicutes	Listeria	8461	2.7	0.1	0.0	0.0	0.1	F-132	25.5	42.0	32.6	zymo_ctr_r1_m_r_v2-v4	0	0	0	0	0
Firmicutes	Listeria	74	0.0	0.0	0.0	0.0	0.0	NP	34.2	34.2	31.5	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Mediterranea	23332	0.0	0.0	0.0	0.0	0.0	NP	37.0	30.9	32.1	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Megasphaera	47222	9.4	0.2	-0.4	-0.3	0.2	F-123	27.4	36.2	36.3	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Firmicutes	Megasphaera	47186	6.9	0.1	-0.4	-0.3	0.1	F-123	27.4	36.2	36.3	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Actinobacteria	Microbacterium	4053	0.0	0.0	0.0	0.0	0.0	NP	31.5	34.7	33.8	comp_cam_r1_c_o-r_v9	0	0	0	0	0
Firmicutes	Mogibacterium	111083	17.73256022	0.3	0.179336908	0.1	0.3	NA	31.49536833	32.35418561	36.15044606	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0	0	0	0	0
Bacteroidetes	Mucilaginibacter	4352	0.0	0.0	0.0	0.0	0.0	NP	37.5	31.5	31.0	comp_cam_r1_c_o-r_v9	0	0	0	0	0
Bacteroidetes	Odoribacter	53124	0.0	0.0	0.0	0.0	0.0	NP	37.1	31.8	31.1	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Parabacteroides	1682539	9.1	0.2	0.3	0.2	0.2	F-321	37.9	31.6	30.4	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Parabacteroides	475948	9.806199364	0.2	-0.470164213	-0.3	0.2	NA	38.18177234	35.29678725	26.52144041	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0	0	0	0	0
Bacteroidetes	Parabacteroides	769852	20.22454986	0.4	-0.452887847	-0.3	0.4	NA	36.37109995	36.87343953	26.75546052	pmer_ctr_r1_s_o_v15	0	0	0	0	0
Bacteroidetes	Prevotella	106302	0.0	0.0	-0.5	-0.3	0.0	F-312	36.1	38.0	25.8	vs_ctr_r3_c_r_v2-v4	0	0	0	0	0
Bacteroidetes	Prevotella	702813	0.0	0.0	-0.2	-0.1	0.0	F-321	36.5	33.7	29.8	vs_ctr_r3_c_r_v2-v4	0	0	0	0	0
Bacteroidetes	Prevotella	499564	0.0	0.0	0.2	0.1	0.1	F-321	36.6	32.4	31.0	vs_ctr_r3_c_r_v2-v4	0	0	0	0	0
Bacteroidetes	Prevotella	24039	0.0	0.0	0.0	0.0	0.0	NP	33.3	35.4	31.3	vs_ctr_r1_c_r_v2-v4	0	0	0	0	0
Bacteroidetes	Prevotella	49559	0.0	0.0	0.0	0.0	0.0	NP	35.3	34.6	30.1	vs_ctr_r3_c_r_v2-v4	0	0	0	0	0
Proteobacteria	Pseudomonas	14832	0.0	0.0	0.0	0.0	0.0	NP	31.1	36.4	32.5	zymo_ctr_r1_m_r_v2-v4	0	0	0	0	0
Proteobacteria	Pseudomonas	12960	0.0	0.0	0.0	0.0	0.0	NP	34.2	34.6	31.1	comp_cam_r1_c_o-r_v9	0	0	0	0	0
Firmicutes	Pseudoramibacter	350548	28.11175128	0.6	0.289658521	0.2	0.6	NA	32.07849671	37.93351344	29.98798986	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0.035083237	0.650308086	0.305001739	0.067986049	0.381659517
Proteobacteria	Rhodanobacter	6010	0.0	0.0	0.0	0.0	0.0	NP	35.0	34.6	30.4	comp_cam_r1_c_o-r_v9	0	0	0	0	0
Firmicutes	Romboutsia	4604	0.0	0.0	0.0	0.0	0.0	NP	32.5	30.8	36.8	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Roseburia	59262	0.0	0.0	0.0	0.0	0.0	NP	33.2	35.3	31.5	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Ruthenibacterium	6963	0.0	0.0	0.0	0.0	0.0	NP	28.6	40.7	30.7	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Proteobacteria	Salmonella	447	0.0	0.0	0.0	0.0	0.0	NP	26.3	34.7	39.0	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Proteobacteria	Salmonella	10472	0.0	0.0	0.0	0.0	0.0	NP	32.5	34.1	33.4	zymo_ctr_r1_m_r_v2-v4	0	0	0	0	0
Fusobacteria	Sneathia	15289	5.6	0.1	0.6	0.4	0.4	F-132	27.7	43.4	29.0	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Fusobacteria	Sneathia	13339	6.0	0.1	0.6	0.4	0.4	F-132	27.5	43.3	29.2	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Fusobacteria	Sneathia	13074	6.006112688	0.1	0.611268304	0.4	0.4	NA	27.54055709	43.30425467	29.15518825	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Firmicutes	Staphylococcus	9575	7.0	0.1	0.7	0.5	0.5	F-132	25.5	45.4	29.1	zymo_ctr_r1_m_r_v2-v4	0	0	0	0	0
Firmicutes	Staphylococcus	964	0.0	0.0	0.0	0.0	0.0	NP	30.3	38.6	31.1	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Streptococcus	35462	3.3	0.1	0.4	0.2	0.2	F-312	30.5	39.5	30.0	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Firmicutes	Streptococcus	91253	19.38071014	0.4	-0.361851814	-0.2	0.4	NA	28.01003803	37.778484	34.21147798	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0	0	0	0	0
Cyanobacteria	Geminocystis	49573	25.6	0.5	1.2	0.7	0.7	F-231	52.6	22.3	25.1	spcc-6803_ctr_r1_s_r_v2	0	0	0	0	0
Tenericutes	Ureaplasma	25330	10.3	0.2	-0.9	-0.5	0.2	F-123	21.7	33.1	45.2	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
Tenericutes	Ureaplasma	25330	5.1	0.1	-0.9	-0.5	0.1	F-123	21.7	33.1	45.2	vs_ctr_r6_c_r_v2-v4	0	0	0	0	0
